"location","lat","long"
"New York",-76.165213,-76.165213
"Georgia",43.680217,43.680217
"North Carolina",-78.717239,-78.717239
"Illinois",-89.448868,-89.448868
"New Jersey",-74.414159,-74.414159
"Chicago",-87.664098,-87.664098
"Atlanta",-84.429341,-84.429341
"Washington",-120.699895,-120.699895
"Houston",-95.436783,-95.436783
"District of Columbia",-76.987826,-76.987826
"Pennsylvania",-77.726344,-77.726344
"Michigan",-84.470355,-84.470355
"Ohio",-82.717554,-82.717554
"Massachusetts",-71.56238,-71.56238
"Los Angeles",-118.257213,-118.257213
"Arizona",-111.627164,-111.627164
"Dallas",-96.813869,-96.813869
"New York City",-73.946246,-73.946246
"Colorado",-105.549357,-105.549357
"San Diego",-117.141291,-117.141291
"Virginia",-78.239201,-78.239201
"Phoenix",-112.073254,-112.073254
"Wisconsin",-89.687178,-89.687178
"Boston",-71.06934,-71.06934
"Tennessee",-86.318423,-86.318423
"Detroit",-83.112136,-83.112136
"Louisiana",-91.644979,-91.644979
"Missouri",-92.489893,-92.489893
"South Carolina",-80.527479,-80.527479
"Long Island",-75.10092,-75.10092
"North Jersey",-0.864919,-0.864919
"Seattle",-122.326642,-122.326642
"Ft Lauderdale",-115.029683,-115.029683
"Miami",-80.425669,-80.425669
"Nevada",-116.727274,-116.727274
"O.C.",103.494685,103.494685
"Inland Empire",-119.947101,-119.947101
"Minnesota",-94.516251,-94.516251
"Northern Virginia",-76.881619,-76.881619
"Alabama",-86.7329,-86.7329
"Philadelphia",-75.138445,-75.138445
"Las Vegas",-115.551255,-115.551255
"Tampa",-82.459556,-82.459556
"Denver",-81.038386,-81.038386
"Manhattan",-96.585821,-96.585821
"Maryland",-76.36738,-76.36738
"Oregon",-120.553429,-120.553429
"San Fernando Valley",-61.451508,-61.451508
"Orlando",-81.271904,-81.271904
"Charlotte",-61.147725,-61.147725
"Connecticut",-72.662756,-72.662756
"Washington D.C.",-76.992695,-76.992695
"Baltimore",-76.615819,-76.615819
"Brooklyn",-73.911311,40.65485
"Indiana",-86.173696,-86.173696
"San Antonio",-98.555842,-98.555842
"Queens",-80.225673,-80.225673
"Raleigh",-78.642146,-78.642146
"San Jose",-84.061729,-84.061729
"Portland",-76.542407,-76.542407
"Bronx",-73.845282,-73.845282
"Austin",-97.80436,-97.80436
"Oklahoma",-97.217048,-97.217048
"Milwaukee",-87.969301,-87.969301
"Minneapolis / St Paul",-93.306642,44.968725
