"id","location"
0,"North Carolina"
1,"Orlando"
2,"Louisiana"
3,"Oklahoma"
4,"Portland"
5,"Milwaukee"
6,"Long Island"
7,"Denver"
8,"Oregon"
9,"Miami"
10,"San Antonio"
11,"Nevada"
12,"North Jersey"
13,"New York"
14,"Charlotte"
15,"New Jersey"
16,"New Jersey"
17,"Brooklyn"
18,"New York City"
19,"Oregon"
20,"Colorado"
21,"Phoenix"
22,"Charlotte"
23,"San Fernando Valley"
24,"Miami"
25,"O.C."
26,"Baltimore"
27,"Detroit"
28,"Seattle"
29,"Phoenix"
30,"Queens"
31,"Las Vegas"
32,"Connecticut"
33,"North Carolina"
34,"San Jose"
35,"Nevada"
36,"Wisconsin"
37,"Oklahoma"
38,"Virginia"
39,"Missouri"
40,"Washington"
41,"Northern Virginia"
42,"Oregon"
43,"Louisiana"
44,"Raleigh"
45,"Illinois"
46,"Arizona"
47,"Queens"
48,"Portland"
49,"New York City"
50,"Louisiana"
51,"New York City"
52,"Connecticut"
53,"Northern Virginia"
54,"Chicago"
55,"Atlanta"
56,"North Carolina"
57,"Raleigh"
58,"Dallas"
59,"Tampa"
60,"Missouri"
61,"Inland Empire"
62,"Wisconsin"
63,"Raleigh"
64,"Orlando"
65,"Colorado"
66,"Oklahoma"
67,"Michigan"
68,"Illinois"
69,"Massachusetts"
70,"San Antonio"
71,"Inland Empire"
72,"Austin"
73,"Los Angeles"
74,"Missouri"
75,"Pennsylvania"
76,"Ft Lauderdale"
77,"Miami"
78,"New York City"
79,"Indiana"
80,"Phoenix"
81,"Milwaukee"
82,"Chicago"
83,"Northern Virginia"
84,"San Antonio"
85,"San Antonio"
86,"Alabama"
87,"Milwaukee"
88,"Bronx"
89,"Chicago"
90,"Illinois"
91,"Orlando"
92,"Inland Empire"
93,"Seattle"
94,"Charlotte"
95,"Brooklyn"
96,"Austin"
97,"Charlotte"
98,"San Fernando Valley"
99,"Washington D.C."
100,"Indiana"
101,"Detroit"
102,"San Jose"
103,"Nevada"
104,"Massachusetts"
105,"Manhattan"
106,"Missouri"
107,"Indiana"
108,"Orlando"
109,"Minnesota"
110,"Nevada"
111,"Los Angeles"
112,"Minneapolis / St Paul"
113,"Tennessee"
114,"Orlando"
115,"Seattle"
116,"San Jose"
117,"Alabama"
118,"Ft Lauderdale"
119,"Atlanta"
120,"Phoenix"
121,"Connecticut"
122,"San Antonio"
123,"Phoenix"
124,"Tennessee"
125,"Charlotte"
126,"Minneapolis / St Paul"
127,"New Jersey"
128,"Maryland"
129,"San Jose"
130,"O.C."
131,"Miami"
132,"Austin"
133,"Maryland"
134,"Bronx"
135,"Alabama"
136,"Massachusetts"
137,"Minnesota"
138,"Colorado"
139,"Austin"
140,"O.C."
141,"Portland"
142,"Ohio"
143,"Arizona"
144,"Louisiana"
145,"San Fernando Valley"
146,"Philadelphia"
147,"Missouri"
148,"Washington D.C."
149,"New York City"
150,"Northern Virginia"
151,"Massachusetts"
152,"Pennsylvania"
153,"North Jersey"
154,"New York"
155,"Manhattan"
156,"Denver"
157,"Queens"
158,"Miami"
159,"Phoenix"
160,"South Carolina"
161,"Massachusetts"
162,"Los Angeles"
163,"Washington D.C."
164,"Miami"
165,"Oklahoma"
166,"Seattle"
167,"Ft Lauderdale"
168,"Portland"
169,"Virginia"
170,"Atlanta"
171,"Queens"
172,"Manhattan"
173,"Minneapolis / St Paul"
174,"Minneapolis / St Paul"
175,"Queens"
176,"District of Columbia"
177,"Dallas"
178,"Georgia"
179,"Minnesota"
180,"San Jose"
181,"New York City"
182,"Oregon"
183,"Queens"
184,"Minneapolis / St Paul"
185,"South Carolina"
186,"Alabama"
187,"Phoenix"
188,"Michigan"
189,"Arizona"
190,"Charlotte"
191,"Manhattan"
192,"Connecticut"
193,"Ohio"
194,"Milwaukee"
195,"Ohio"
196,"Detroit"
197,"Boston"
198,"Boston"
199,"Inland Empire"
200,"North Jersey"
201,"Wisconsin"
202,"Virginia"
203,"Miami"
204,"Charlotte"
205,"Miami"
206,"New York City"
207,"Austin"
208,"Tennessee"
209,"Illinois"
210,"Phoenix"
211,"South Carolina"
212,"Oklahoma"
213,"Wisconsin"
214,"Raleigh"
215,"O.C."
216,"Washington D.C."
217,"Northern Virginia"
218,"Long Island"
219,"Indiana"
220,"San Jose"
221,"Ohio"
222,"Arizona"
223,"Los Angeles"
224,"Virginia"
225,"Brooklyn"
226,"Raleigh"
227,"Baltimore"
228,"Oklahoma"
229,"San Fernando Valley"
230,"Raleigh"
231,"Manhattan"
232,"New York"
233,"Inland Empire"
234,"New York"
235,"South Carolina"
236,"Manhattan"
237,"Detroit"
238,"Washington"
239,"Denver"
240,"New York"
241,"Missouri"
242,"Ft Lauderdale"
243,"Indiana"
244,"Denver"
245,"San Antonio"
246,"Arizona"
247,"Indiana"
248,"Ohio"
249,"Washington"
250,"Charlotte"
251,"Orlando"
252,"Orlando"
253,"Washington"
254,"Northern Virginia"
255,"Portland"
256,"Chicago"
257,"Ft Lauderdale"
258,"Miami"
259,"O.C."
260,"Northern Virginia"
261,"Illinois"
262,"New York"
263,"Ft Lauderdale"
264,"Nevada"
265,"Maryland"
266,"Las Vegas"
267,"Tampa"
268,"Atlanta"
269,"Washington D.C."
270,"Chicago"
271,"Detroit"
272,"Pennsylvania"
273,"Seattle"
274,"Indiana"
275,"Detroit"
276,"Maryland"
277,"Atlanta"
278,"Georgia"
279,"Missouri"
280,"Los Angeles"
281,"Alabama"
282,"Miami"
283,"North Carolina"
284,"Arizona"
285,"Phoenix"
286,"Dallas"
287,"Houston"
288,"New York City"
289,"Virginia"
290,"Louisiana"
291,"Alabama"
292,"North Jersey"
293,"Massachusetts"
294,"Tampa"
295,"Bronx"
296,"Pennsylvania"
297,"Indiana"
298,"Oregon"
299,"Michigan"
300,"Washington"
301,"Massachusetts"
302,"Tampa"
303,"Illinois"
304,"Georgia"
305,"Raleigh"
306,"San Fernando Valley"
307,"Charlotte"
308,"Brooklyn"
309,"Philadelphia"
310,"Baltimore"
311,"North Carolina"
312,"San Diego"
313,"District of Columbia"
314,"Orlando"
315,"Michigan"
316,"San Jose"
317,"Las Vegas"
318,"Washington D.C."
319,"Alabama"
320,"Chicago"
321,"Dallas"
322,"Charlotte"
323,"Bronx"
324,"Miami"
325,"Nevada"
326,"North Carolina"
327,"Northern Virginia"
328,"Ft Lauderdale"
329,"Seattle"
330,"Minnesota"
331,"District of Columbia"
332,"Austin"
333,"Tampa"
334,"Milwaukee"
335,"Tennessee"
336,"Orlando"
337,"Austin"
338,"O.C."
339,"Oregon"
340,"Detroit"
341,"Phoenix"
342,"Missouri"
343,"Bronx"
344,"Detroit"
345,"Charlotte"
346,"Indiana"
347,"Tampa"
348,"Seattle"
349,"Raleigh"
350,"Louisiana"
351,"Chicago"
352,"Manhattan"
353,"North Carolina"
354,"Brooklyn"
355,"Ohio"
356,"Atlanta"
357,"Long Island"
358,"San Jose"
359,"Queens"
360,"San Fernando Valley"
361,"Northern Virginia"
362,"Denver"
363,"Baltimore"
364,"Boston"
365,"Queens"
366,"Washington"
367,"Illinois"
368,"San Diego"
369,"Arizona"
370,"Los Angeles"
371,"San Diego"
372,"Milwaukee"
373,"Tennessee"
374,"San Jose"
375,"Minneapolis / St Paul"
376,"Los Angeles"
377,"Tennessee"
378,"Chicago"
379,"Ft Lauderdale"
380,"Milwaukee"
381,"Virginia"
382,"North Jersey"
383,"Phoenix"
384,"Virginia"
385,"San Jose"
386,"Chicago"
387,"Northern Virginia"
388,"Alabama"
389,"Los Angeles"
390,"Manhattan"
391,"Minneapolis / St Paul"
392,"Maryland"
393,"Pennsylvania"
394,"Austin"
395,"Minneapolis / St Paul"
396,"Washington"
397,"Minneapolis / St Paul"
398,"Denver"
399,"Los Angeles"
400,"Colorado"
401,"Louisiana"
402,"Washington"
403,"Boston"
404,"Pennsylvania"
405,"Detroit"
406,"Inland Empire"
407,"Portland"
408,"Miami"
409,"San Jose"
410,"Missouri"
411,"Miami"
412,"Seattle"
413,"Detroit"
414,"Washington"
415,"Washington D.C."
416,"Philadelphia"
417,"Washington D.C."
418,"Queens"
419,"Washington D.C."
